0,1,2,3,label
297242.38,43.61,985.13,17.44,0
316831.69,43.29,985.13,16.8,0
335188.22,43.17,985.12,16.83,0
344665.09,43.06,985.13,16.86,0
350684.94,42.71,985.12,16.99,0
363765.53,41.59,985.13,17.62,0
368876.09,41.58,985.12,17.9,0
379399.78,41.19,985.15,18.18,0
388025.78,40.4,985.12,18.52,0
398211.16,40.09,985.11,19.03,0
406510.53,39.79,985.11,19.29,0
410667.75,39.87,985.1,19.52,0
412404.34,39.68,985.09,19.57,0
415163.19,40.16,985.13,19.45,0
412903.22,40.3,985.1,19.24,0
421312.5,39.82,985.09,19.43,0
424455.97,39.99,985.11,19.52,0
426311.41,40.1,985.13,19.39,0
428183.16,39.9,985.14,19.43,0
433898.31,39.47,985.12,19.73,0
438637.81,39.44,985.12,19.91,0
442046.19,39.48,985.11,19.77,0
449319.88,38.79,985.15,20.11,0
453197.63,38.91,985.11,20.36,0
450803.44,39.29,985.15,20.2,0
449615.81,39.25,985.14,20.02,0
451101.31,39.03,985.14,20.17,0
452296.81,39.12,985.15,20.26,0
451101.31,39.41,985.15,20.09,0
459914.66,38.9,985.11,20.15,0
460224.72,39.03,985.1,20.4,0
458987.0,39.26,985.13,20.2,0
455921.63,39.28,985.14,20.15,0
460224.72,39.33,985.12,20.04,0
460224.72,39.4,985.15,20.01,0
459914.66,39.36,985.12,19.98,0
458678.63,39.36,985.12,19.98,0
460535.19,39.36,985.12,19.98,0
462406.88,39.38,985.11,20.02,0
462720.28,39.35,985.13,19.99,0
461469.13,39.25,985.12,20.03,0
466196.22,39.29,985.11,20.06,0
466833.81,39.17,985.13,20.1,0
464293.81,39.16,985.1,20.18,0
462406.88,39.36,985.1,20.15,0
461157.41,39.5,985.08,20.02,0
463663.13,39.51,985.1,19.98,0
461469.13,39.64,985.12,19.91,0
459914.66,39.81,985.13,19.76,0
458678.63,39.78,985.11,19.83,0
462093.88,39.79,985.1,19.77,0
461157.41,39.95,985.12,19.7,0
461781.28,39.96,985.11,19.5,0
460846.09,39.96,985.09,19.5,0
460846.09,40.02,985.11,19.55,0
460535.19,40.12,985.13,19.5,0
459605.03,40.07,985.13,19.38,0
458678.63,40.12,985.11,19.4,0
460535.19,40.29,985.13,19.38,0
461157.41,40.25,985.11,19.33,0
459914.66,40.31,985.12,19.33,0
459914.66,40.38,985.1,19.22,0
462406.88,40.4,985.1,19.18,0
460846.09,40.43,985.11,19.15,0
459605.03,40.45,985.09,19.07,0
461781.28,40.56,985.11,19.03,0
460224.72,40.49,985.09,19.02,0
459914.66,40.51,985.1,18.98,0
460846.09,40.53,985.1,19.0,0
462406.88,40.52,985.07,18.98,0
463348.41,40.5,985.11,19.0,0
463034.13,40.58,985.08,19.0,0
