0,1,2,3,label_0,label_1,label_2
516,847,786,354,1,0,0
572,791,786,214,1,0,0
624,770,768,221,1,0,0
651,750,786,227,1,0,0
668,689,768,255,1,0,0
705,492,786,393,1,0,0
720,490,768,454,1,0,0
750,422,821,515,1,0,0
774,283,768,590,1,0,0
803,228,750,701,1,0,0
827,176,750,758,1,0,0
838,190,732,808,1,0,0
843,156,714,819,1,0,0
851,241,786,793,1,0,0
845,265,732,747,1,0,0
869,181,714,788,1,0,0
878,211,750,808,1,0,0
883,230,786,779,1,0,0
888,195,804,788,1,0,0
905,120,768,854,1,0,0
918,114,768,893,1,0,0
928,121,750,862,1,0,0
948,0,821,937,1,0,0
959,21,750,991,1,0,0
953,88,821,956,1,0,0
949,81,804,917,1,0,0
953,42,804,950,1,0,0
957,58,821,969,1,0,0
953,109,821,932,1,0,0
979,19,750,945,1,0,0
979,42,732,1000,1,0,0
976,83,786,956,1,0,0
967,86,804,945,1,0,0
979,95,768,921,1,0,0
979,107,821,915,1,0,0
979,100,768,908,1,0,0
975,100,768,908,1,0,0
980,100,768,908,1,0,0
986,104,750,917,1,0,0
986,98,786,910,1,0,0
983,81,768,919,1,0,0
996,88,750,926,1,0,0
998,67,786,934,1,0,0
991,65,732,952,1,0,0
986,100,732,945,1,0,0
982,125,696,917,1,0,0
989,127,732,908,1,0,0
983,149,768,893,1,0,0
979,179,786,860,1,0,0
975,174,750,876,1,0,0
985,176,732,862,1,0,0
982,204,768,847,1,0,0
984,206,750,803,1,0,0
981,206,714,803,1,0,0
981,216,750,814,1,0,0
980,234,786,803,1,0,0
978,225,786,777,1,0,0
975,234,750,782,1,0,0
980,264,786,777,1,0,0
982,257,750,766,1,0,0
979,267,768,766,1,0,0
979,279,732,742,1,0,0
986,283,732,734,1,0,0
981,288,750,727,1,0,0
978,292,714,710,1,0,0
984,311,750,701,1,0,0
979,299,714,699,1,0,0
979,302,732,690,1,0,0
981,306,732,694,1,0,0
986,304,679,690,1,0,0
988,301,750,694,1,0,0
987,315,696,694,1,0,0
984,329,714,683,1,0,0
982,308,732,688,1,0,0
987,313,714,692,1,0,0
986,329,661,677,1,0,0
990,327,661,662,1,0,0
982,322,696,668,1,0,0
992,329,696,664,1,0,0
992,339,714,653,1,0,0
995,327,679,668,1,0,0
1000,334,679,666,1,0,0
992,366,643,646,1,0,0
993,353,661,631,1,0,0
990,350,679,642,1,0,0
992,362,679,642,1,0,0
993,366,643,624,1,0,0
992,351,625,635,1,0,0
995,362,625,638,1,0,0
993,378,661,644,1,0,0
1000,311,625,740,1,0,0
923,497,929,943,0,1,0
279,501,964,766,0,1,0
97,524,982,793,0,1,0
61,554,946,751,0,1,0
62,580,893,681,0,1,0
60,594,893,640,0,1,0
60,617,929,603,0,1,0
63,640,929,563,0,1,0
68,656,946,531,0,1,0
71,668,982,502,0,1,0
76,689,929,472,0,1,0
81,708,929,454,0,1,0
79,714,982,432,0,1,0
86,731,946,415,0,1,0
90,747,946,400,0,1,0
95,757,1000,365,0,1,0
100,764,964,354,0,1,0
100,780,964,334,0,1,0
107,794,964,317,0,1,0
110,794,929,303,0,1,0
119,810,1000,301,0,1,0
126,821,929,273,0,1,0
129,826,982,258,0,1,0
137,833,911,258,0,1,0
142,844,982,242,0,1,0
147,852,929,227,0,1,0
152,852,964,218,0,1,0
154,865,929,210,0,1,0
158,873,929,201,0,1,0
166,872,893,188,0,1,0
170,880,946,183,0,1,0
172,886,929,172,0,1,0
177,893,929,164,0,1,0
178,893,911,168,0,1,0
178,900,839,155,0,1,0
178,909,857,151,0,1,0
188,905,857,148,0,1,0
186,912,857,146,0,1,0
195,916,857,140,0,1,0
196,921,875,131,0,1,0
198,923,911,129,0,1,0
199,926,911,124,0,1,0
199,935,893,124,0,1,0
196,930,893,118,0,1,0
215,938,911,118,0,1,0
217,944,911,114,0,1,0
220,942,911,105,0,1,0
218,944,911,103,0,1,0
229,947,929,103,0,1,0
226,956,893,96,0,1,0
231,951,911,96,0,1,0
233,954,911,94,0,1,0
235,960,875,94,0,1,0
236,956,875,90,0,1,0
234,960,893,90,0,1,0
239,963,929,90,0,1,0
238,967,857,85,0,1,0
237,963,893,92,0,1,0
239,967,929,85,0,1,0
243,974,929,81,0,1,0
246,968,911,74,0,1,0
255,972,946,74,0,1,0
248,974,893,74,0,1,0
251,975,893,66,0,1,0
248,975,911,70,0,1,0
252,975,911,66,0,1,0
257,984,911,66,0,1,0
260,977,929,63,0,1,0
265,979,946,76,0,1,0
264,981,911,44,0,1,0
266,981,911,55,0,1,0
273,981,946,52,0,1,0
