index0;index1;index2;index3;index4;temp;press;hum;label;;;;;;
579349.38;5728671.50;18507766.00;3187548.75;427111.56;29.21;90050.64;12.73;0;;;;;hava;0
568730.94;6060292.00;20563540.00;3666965.00;474953.62;29.31;90052.08;12.68;0;;;;;kekik;1
593451.19;6375097.50;21409996.00;3831618.25;481316.09;29.23;90052.78;12.76;0;;;;;nane;2
602884.88;6535301.00;22374872.00;3982498.75;486807.69;29.25;90049.82;12.62;0;;;;;sumak ;3
608256.62;6484860.50;21838054.00;3826249.50;482677.34;29.37;90054.87;12.65;0;;;;;hindistan cevizi;4
608256.62;6535301.00;22490048.00;3979596.75;487502.97;29.07;90053.72;12.59;0;;;;;;
606096.50;6496431.50;22260870.00;3947951.75;491362.75;29.17;90051.89;12.65;0;;;;;;
617611.56;6642611.00;22818942.00;4032488.25;492071.12;29.22;90052.51;12.64;0;;;;;;
619854.75;6687347.00;23133074.00;4074608.25;496725.69;29.08;90052.03;12.59;0;;;;;;
626683.00;6859535.50;24187488.00;4180658.25;503317.78;29.09;90052.59;12.56;0;;;;;;
630736.06;6942373.00;24417288.00;4235781.00;504433.50;29.00;90051.03;12.57;0;;;;;;
636024.87;6973398.50;24735234.00;4265556.00;504433.50;28.97;90051.45;12.56;0;;;;;;
634252.06;7018205.00;24918632.00;4299134.00;512000.00;28.92;90054.48;12.60;0;;;;;;
638404.00;7137443.00;25500390.00;4442516.50;518218.62;28.79;90050.38;12.58;0;;;;;;
643216.06;7142110.00;25396628.00;4336686.00;510087.19;28.78;90052.49;12.71;0;;;;;;
640801.00;7077322.00;24890240.00;4282279.00;511233.16;28.95;90052.22;12.77;0;;;;;;
643216.06;7156147.50;25308360.00;4371398.00;519401.47;28.89;90054.53;12.69;0;;;;;;
649334.19;7289877.50;26094366.00;4435300.50;515090.53;28.90;90054.22;12.65;0;;;;;;
649334.19;7294746.00;26235388.00;4542279.00;522582.28;28.77;90053.07;12.64;0;;;;;;
648101.25;7241547.00;26047694.00;4446133.00;517041.16;28.71;90052.08;12.71;0;;;;;;
646260.63;7299621.50;26457812.00;4523467.50;523383.59;28.69;90053.00;12.72;0;;;;;;
651192.37;7353680.50;26700346.00;4611314.50;526613.50;28.59;90051.28;12.74;0;;;;;;
651814.12;7378518.50;26798610.00;4603540.50;527427.25;28.58;90051.78;12.71;0;;;;;;
